courseCode,courseName,creditHours,semester,courseType,lectureHours,tutorialHours,practicalHours
CS301,Data Structures and Algorithms,4,3,THEORY,3,1,0
CS302,Object Oriented Programming,4,3,THEORY,3,1,0
CS303,Digital Logic Design,3,3,THEORY,2,1,0
CS304,Digital Logic Design Lab,1,3,LAB,0,0,2
CS305,Integrated Electronics,4,3,IC,2,0,2
CS401,Operating Systems,4,4,THEORY,3,1,0
CS402,Database Management Systems,4,4,THEORY,3,1,0
CS403,Database Lab,1,4,LAB,0,0,2
CS404,Industrial Training,0,4,AUDIT,0,0,0
CS501,Computer Networks,4,5,THEORY,3,1,0
CS502,Software Engineering,3,5,THEORY,3,0,0
CS503,Networks Lab,1,5,LAB,0,0,2
CS504,Open Source Technology,0,5,AUDIT,0,0,0
